fever,coughing,depression,loss_of_appetite,diarrhoea,salivation,lameness,swelling,weight_loss,prognosis
1,0,1,1,0,0,0,0,0,mastitis
1,0,0,1,0,0,0,0,0,mastitis
0,0,0,1,0,0,0,0,0,mastitis
0,0,0,0,0,0,0,0,0,mastitis
0,0,0,0,0,0,0,0,0,mastitis
0,0,0,0,0,0,0,0,0,mastitis
0,0,0,0,0,0,0,0,0,mastitis
0,0,1,0,0,0,0,0,0,mastitis
1,0,1,0,0,0,0,0,0,mastitis
1,0,1,1,0,0,0,0,0,mastitis
1,0,1,1,0,0,0,0,0,mastitis
1,0,1,1,0,0,0,0,0,mastitis
0,0,1,1,0,0,0,0,0,mastitis
1,0,0,0,0,0,0,0,0,mastitis
1,0,1,0,0,0,0,0,0,mastitis
1,0,0,1,0,0,0,0,0,mastitis
0,0,0,1,0,0,0,0,0,mastitis
0,0,1,1,0,0,0,0,0,mastitis
1,0,1,1,0,0,0,0,0,mastitis
1,0,0,1,0,0,0,0,0,mastitis
0,0,0,1,0,0,0,0,0,mastitis
0,0,0,0,0,0,0,0,0,mastitis
0,0,1,0,0,0,0,0,0,mastitis
1,0,1,0,0,0,0,0,0,mastitis
0,0,0,1,0,0,1,0,0,blackleg
1,0,0,1,0,0,1,0,0,blackleg
1,0,0,1,0,0,1,0,0,blackleg
1,0,0,0,0,0,1,0,0,blackleg
0,0,0,1,0,0,0,0,0,blackleg
1,0,0,0,0,0,1,0,0,blackleg
1,0,0,1,0,0,0,0,0,blackleg
1,0,0,1,0,0,1,0,0,blackleg
1,0,0,1,0,0,1,0,0,blackleg
0,0,0,0,0,0,1,0,0,blackleg
1,0,0,0,0,0,0,0,0,blackleg
1,0,0,1,0,0,0,0,0,blackleg
1,0,0,1,0,0,1,0,0,blackleg
1,0,0,1,0,0,1,0,0,blackleg
1,0,0,1,0,0,1,0,0,blackleg
0,0,0,0,0,0,1,0,0,blackleg
0,0,0,0,0,0,0,0,0,blackleg
1,0,0,0,0,0,0,0,0,blackleg
1,0,0,1,0,0,0,0,0,blackleg
1,0,0,1,0,0,1,0,0,blackleg
1,0,0,1,0,0,1,0,0,blackleg
1,0,0,1,0,0,1,0,0,blackleg
0,0,0,1,0,0,1,0,0,blackleg
0,0,0,0,0,0,1,0,0,blackleg
0,0,0,0,0,0,0,0,0,bloat
0,0,0,0,0,0,0,0,0,bloat
0,0,0,0,0,0,0,0,0,bloat
0,0,0,0,0,0,0,0,0,bloat
0,0,0,0,0,0,0,0,0,bloat
0,0,0,0,0,0,0,0,0,bloat
0,0,0,0,0,0,0,0,0,bloat
0,0,1,1,1,0,0,0,1,coccidiosis
0,0,0,1,1,0,0,0,1,coccidiosis
0,0,1,1,1,0,0,0,1,coccidiosis
0,0,1,1,0,0,0,0,1,coccidiosis
0,0,1,1,1,0,0,0,1,coccidiosis
0,0,1,0,1,0,0,0,1,coccidiosis
0,0,1,1,1,0,0,0,0,coccidiosis
1,0,0,1,0,0,0,0,1,cryptosporidiosis
1,0,1,1,0,0,0,0,0,cryptosporidiosis
1,0,1,1,0,0,0,0,0,cryptosporidiosis
0,0,1,1,0,0,0,0,1,cryptosporidiosis
1,0,0,1,0,0,0,0,1,cryptosporidiosis
0,0,1,0,0,0,0,0,1,cryptosporidiosis
1,0,1,1,0,0,0,0,1,cryptosporidiosis
1,0,1,0,0,0,0,0,1,cryptosporidiosis
1,0,1,1,0,0,0,0,0,cryptosporidiosis
0,0,0,1,0,0,0,0,1,cryptosporidiosis
0,0,1,1,0,0,0,0,1,cryptosporidiosis
1,0,1,0,0,0,0,0,1,cryptosporidiosis
1,0,1,0,0,0,0,0,1,cryptosporidiosis
1,0,1,1,0,0,0,0,1,cryptosporidiosis
1,0,1,1,0,0,0,0,0,cryptosporidiosis
0,0,0,1,0,0,0,0,1,cryptosporidiosis
0,0,0,1,0,0,0,0,1,cryptosporidiosis
0,0,1,0,0,0,0,0,1,cryptosporidiosis
1,0,1,0,0,0,0,0,1,cryptosporidiosis
1,0,1,0,0,0,0,0,1,cryptosporidiosis
1,0,1,1,0,0,0,0,0,cryptosporidiosis
1,0,1,1,0,0,0,0,0,cryptosporidiosis
1,0,0,1,0,0,0,0,0,cryptosporidiosis
0,0,0,1,0,0,0,0,1,cryptosporidiosis
0,0,0,1,1,0,0,0,0,displaced_abomasum
0,0,0,1,0,0,0,0,0,displaced_abomasum
0,0,0,1,1,0,0,0,0,displaced_abomasum
0,0,0,0,1,0,0,0,0,displaced_abomasum
0,0,0,1,1,0,0,0,0,displaced_abomasum
0,0,0,1,1,0,0,0,0,displaced_abomasum
0,0,0,1,1,0,0,0,0,displaced_abomasum
0,0,0,1,0,0,0,0,1,gut_worms
0,0,0,1,0,0,0,0,0,gut_worms
0,0,0,1,0,0,0,0,0,gut_worms
0,0,0,1,0,0,0,0,1,gut_worms
0,0,0,1,0,0,0,0,1,gut_worms
0,0,0,1,0,0,0,0,1,gut_worms
0,0,0,0,0,0,0,0,1,gut_worms
0,0,0,1,0,0,0,0,1,gut_worms
0,0,0,0,0,0,0,0,0,gut_worms
0,0,0,1,0,0,0,0,1,gut_worms
0,0,0,1,0,0,0,0,1,gut_worms
0,0,0,1,0,0,0,0,1,gut_worms
0,0,0,0,0,0,0,0,1,gut_worms
0,0,0,0,0,0,0,0,1,gut_worms
0,0,0,1,0,0,0,0,0,gut_worms
0,0,0,1,0,0,0,0,1,gut_worms
0,0,0,1,0,0,0,0,1,gut_worms
0,0,0,1,0,0,0,0,1,gut_worms
0,0,0,0,0,0,0,0,1,gut_worms
0,0,0,0,0,0,0,0,1,gut_worms
0,0,0,0,0,0,0,0,0,gut_worms
0,0,0,1,0,0,0,0,0,gut_worms
0,0,0,1,0,0,0,0,0,gut_worms
0,0,0,1,0,0,0,0,1,gut_worms
1,0,1,0,0,0,0,0,0,listeriosis
1,0,1,0,0,0,0,0,0,listeriosis
1,0,1,1,0,0,0,0,0,listeriosis
1,0,0,1,0,0,0,0,0,listeriosis
1,0,0,1,0,1,0,0,0,listeriosis
0,0,0,1,0,1,0,0,0,listeriosis
0,0,0,1,0,1,0,0,0,listeriosis
0,0,0,1,0,1,0,0,0,listeriosis
0,0,1,0,0,1,0,0,0,listeriosis
0,0,1,0,0,1,0,0,0,listeriosis
1,0,1,0,0,0,0,0,0,listeriosis
0,0,0,1,0,1,0,0,0,listeriosis
1,0,1,0,0,0,0,0,0,listeriosis
1,0,0,0,0,1,0,0,0,listeriosis
0,0,1,0,0,1,0,0,0,listeriosis
0,0,1,1,0,0,0,0,0,listeriosis
1,0,0,1,0,0,0,0,0,listeriosis
1,0,1,0,0,1,0,0,0,listeriosis
0,0,1,0,0,1,0,0,0,listeriosis
1,0,0,0,0,1,0,0,0,listeriosis
1,0,0,0,0,1,0,0,0,listeriosis
0,0,0,1,0,0,0,0,0,listeriosis
0,0,1,1,0,0,0,0,0,listeriosis
0,0,1,1,0,1,0,0,0,listeriosis
1,0,1,0,0,1,0,0,0,listeriosis
0,0,0,0,0,0,0,0,1,liver_fluke
0,0,0,0,0,0,0,0,1,liver_fluke
0,0,0,0,0,0,0,0,1,liver_fluke
0,0,0,0,0,0,0,0,1,liver_fluke
0,0,0,0,0,0,0,0,1,liver_fluke
0,0,0,0,0,0,0,0,1,liver_fluke
0,0,0,0,0,0,0,0,0,liver_fluke
0,0,0,1,0,0,0,0,0,necrotic_enteritis
0,0,0,1,0,0,0,0,0,necrotic_enteritis
0,0,0,1,0,0,0,0,0,necrotic_enteritis
0,0,0,0,0,0,0,0,0,necrotic_enteritis
0,0,0,1,0,0,0,0,0,necrotic_enteritis
0,0,0,1,0,0,0,0,0,necrotic_enteritis
0,0,0,1,0,0,0,0,0,necrotic_enteritis
0,0,0,1,1,0,0,0,1,peri_weaning_diarrhoea
0,0,0,1,0,0,0,0,1,peri_weaning_diarrhoea
